section_name,section_url,page_url,page_title,pdf_url,filename
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/oversight-framework-payments-and-financial-settlement-systems,Oversight Framework for Payments and Financial Settlement Systems | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_3440_VER1.pdf,SAMA_EN_3440_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/cyber-resilience-fundamental-requirements-crfr-1,Cyber Resilience Fundamental Requirements (CRFR) | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_3726_VER1.pdf,SAMA_EN_3726_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/cyber-security-framework-2,Cyber Security Framework | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_3837_VER1.pdf,SAMA_EN_3837_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/financial-sector-cyber-threat-intelligence-principles-0,Financial Sector Cyber Threat Intelligence Principles | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_3081_VER1.pdf,SAMA_EN_3081_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/minimum-verification-controls-0,Minimum Verification Controls | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_2888_VER1.pdf,SAMA_EN_2888_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/business-continuity-management-framework-1,Business Continuity Management Framework | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_3709_VER1.pdf,SAMA_EN_3709_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/financial-entities-ethical-red-teaming-0,Financial Entities Ethical Red-Teaming | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_2898_VER1.pdf,SAMA_EN_2898_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/information-technology-governance-framework,Information Technology Governance Framework | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_4066_VER1.pdf,SAMA_EN_4066_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/counter-fraud-framework-0,Counter-Fraud Framework | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_2217_VER1.pdf,SAMA_EN_2217_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/adherence-personal-data-protection-law-and-data-governance-policies-regulations-and-rules,"Adherence to the Personal Data Protection Law and Data Governance Policies, Regulations and Rules | SAMA Rulebook",https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_4725_VER1.pdf,SAMA_EN_4725_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/adherence-personal-data-protection-law-and-data-governance-policies-regulations-and-rules,"Adherence to the Personal Data Protection Law and Data Governance Policies, Regulations and Rules | SAMA Rulebook",https://rulebook.sama.gov.sa/sites/default/files/ar_net_file_store/%D8%AA%D8%B9%D8%AF%D9%8A%D9%84%20%D9%86%D8%B8%D8%A7%D9%85%20%D8%AD%D9%85%D8%A7%D9%8A%D8%A9%20%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA%20%D8%A7%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D8%A9-%D9%85148.pdf,%D8%AA%D8%B9%D8%AF%D9%8A%D9%84%20%D9%86%D8%B8%D8%A7%D9%85%20%D8%AD%D9%85%D8%A7%D9%8A%D8%A9%20%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA%20%D8%A7%D9%84%D8%B4%D8%AE%D8%B5%D9%8A
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/definitions-20,Definitions | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_1722_VER1.pdf,SAMA_EN_1722_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/launch-first-phase-complaint-management-system,Launch of the First Phase of the Complaint Management System | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_10556_VER.pdf,SAMA_EN_10556_VER.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/unified-form-responding-complaints-received-through-%E2%80%9Csamacares%E2%80%9D-system,The Unified Form for Responding to Complaints Received Through the “SAMACares” System | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_4924_VER1.pdf,SAMA_EN_4924_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/licensing-guidelines-and-minimum-criteria,Licensing Guidelines and Minimum Criteria | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_1868_VER1.pdf,SAMA_EN_1868_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/additional-licensing-guidelines-and-criteria-digital-only-banks-saudi-arabia-feb-2020,Additional Licensing Guidelines and Criteria for Digital-Only Banks in Saudi Arabia Feb 2020 | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_1897_VER1.pdf,SAMA_EN_1897_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/cyber-security-framework-3,Cyber Security Framework | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_5888_VER1.pdf,SAMA_EN_5888_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/rules-outsourcing,Rules on Outsourcing | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_2389_VER1.pdf,SAMA_EN_2389_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/principles-internal-auditing-local-banks-operating-saudi-arabia,Principles of Internal Auditing for Local Banks Operating in Saudi Arabia | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_4736_VER1.pdf,SAMA_EN_4736_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/principles-compliance-commercial-banks-operating-kingdom-saudi-arabia,Principles of compliance for commercial banks operating in the Kingdom of Saudi Arabia | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_4878_VER1.pdf,SAMA_EN_4878_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/minimum-capital-requirements-credit-risk,Minimum Capital Requirements for Credit Risk | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_3502_VER1.pdf,SAMA_EN_3502_VER1.pdf
